Date,Portfolio Value,Weekly Return (%),Cumulative Return (%),Total Investment,Scenario
2020-01-13,200.0,0.0,0.0,200.0,Max Min Vol
2020-01-20,398.02082064062654,99.01041032031327,-0.4947948398433652,400.0,Max Min Vol
2020-01-27,589.5168184025384,48.112055407979234,-1.747196932910261,600.0,Max Min Vol
2020-02-03,808.2277384992518,37.10003061309975,1.0284673124064767,800.0,Max Min Vol
2020-02-10,1022.551690411635,26.517767419161846,2.2551690411635037,1000.0,Max Min Vol
2020-02-17,1211.7721724276669,18.50473514349772,0.9810143689722394,1200.0,Max Min Vol
2020-02-24,1273.0413871729972,5.056166178711919,-9.06847234478591,1400.0,Max Min Vol
2020-03-02,1474.3108663003145,15.81012849662885,-7.855570856230345,1600.0,Max Min Vol
2020-03-09,1530.7858806712445,3.8306042274958143,-14.956339962708636,1800.0,Max Min Vol
2020-03-16,1497.2210908923003,-2.192650860107634,-25.138945455384988,2000.0,Max Min Vol
2020-03-23,1849.8157197662713,23.549937348520444,-15.917467283351305,2200.0,Max Min Vol
2020-03-30,2007.0113645865458,8.497908366793238,-16.374526475560593,2400.0,Max Min Vol
2020-04-06,2466.956839718728,22.916934265936924,-5.117044626202764,2600.0,Max Min Vol
2020-04-13,2733.870045717106,10.819532863364175,-2.3617840815319204,2800.0,Max Min Vol
2020-04-20,2905.03058569316,6.260741626844871,-3.1656471435613334,3000.0,Max Min Vol
2020-04-27,3108.7225304232493,7.011697079309305,-2.85242092427346,3200.0,Max Min Vol
2020-05-04,3432.7995102356963,10.424763761992109,0.964691477520479,3400.0,Max Min Vol
2020-05-11,3548.0681759930417,3.3578618679490266,-1.4425506668599535,3600.0,Max Min Vol
2020-05-18,3882.018077023771,9.412161335858853,2.1583704479939785,3800.0,Max Min Vol
2020-05-25,4197.755133839134,8.133322682964659,4.943878345978351,4000.0,Max Min Vol
2020-06-01,4621.420494761758,10.09266494625553,10.033821303851385,4200.0,Max Min Vol
2020-06-08,4595.059654652254,-0.5704055742035068,4.433173969369405,4400.0,Max Min Vol
2020-06-15,4887.874302247823,6.3723796773587,6.258137005387455,4600.0,Max Min Vol
2020-06-22,4930.421193954119,0.8704579757038742,2.7171082073774833,4800.0,Max Min Vol
